tvBench_id,db_id,chart,hardness,query,question,vega_zero
1342,employee_hire_evaluation,Bar,Easy,"Visualize BAR SELECT Start_from , SUM(Employee_ID) FROM hiring BIN Start_from BY WEEKDAY",Return a bar chart about the distribution of Start_from and the sum of Employee_ID bin start_from by weekday .,mark bar data hiring encoding x start_from y aggregate sum employee_id transform bin x by weekday
1210@y_name@DESC,dorm_1,Bar,Medium,"Visualize BAR SELECT gender , count(*) FROM dorm GROUP BY gender ORDER BY count(*) DESC","How many dorms are there for each gender ? Show me a bar chart , I want to list from high to low by the y-axis .",mark bar data dorm encoding x gender y aggregate count gender transform group x sort y desc
1062@y_name@ASC,customers_card_transactions,Bar,Medium,"Visualize BAR SELECT card_type_code , count(*) FROM Customers_cards GROUP BY card_type_code ORDER BY count(*) ASC","Bar chart x axis card type code y axis the total number , and could you sort y-axis in ascending order ?",mark bar data customers_cards encoding x card_type_code y aggregate count card_type_code transform group x sort y asc
3088,university_basketball,Stacked Bar,Extra Hard,"Visualize BAR SELECT ACC_Road , Team_ID FROM basketball_match GROUP BY All_Home ,  ACC_Road","Find ACC_Road and Team_ID , and group by attribute All_Home , and visualize them by a bar chart .",mark bar data basketball_match encoding x acc_road y aggregate none team_id color all_home transform group x
2965@x_name@DESC,tracking_grants_for_research,Line,Medium,"Visualize LINE SELECT date_to , COUNT(date_to) FROM Project_Staff ORDER BY date_to DESC BIN date_to BY YEAR","Plot date to by the number of date to as a trend line , and sort by the x-axis from high to low .",mark line data project_staff encoding x date_to y aggregate count date_to transform sort x desc bin x by year
3115@x_name@DESC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Games , School_ID FROM basketball_match ORDER BY All_Games DESC","Find All_Games and School_ID , and visualize them by a bar chart , could you list by the bars in desc ?",mark bar data basketball_match encoding x all_games y aggregate none school_id transform sort x desc
2189@y_name@ASC,manufactory_1,Bar,Medium,"Visualize BAR SELECT Name , Code FROM products WHERE price BETWEEN 60 AND 120 ORDER BY Code ASC","For those products with a price between 60 and 120 , a bar chart shows the distribution of name and code , list Y-axis in ascending order please .",mark bar data products encoding x name y aggregate none code transform filter price between 60 and 120 sort y asc
3288@y_name@DESC,wta_1,Bar,Medium,"Visualize BAR SELECT year , count(*) FROM matches GROUP BY YEAR ORDER BY count(*) DESC","Find the number of matches happened in each year Plot them as bar chart , and show the total number in descending order .",mark bar data matches encoding x year y aggregate count year transform group x sort y desc
1987@x_name@ASC,insurance_and_eClaims,Bar,Medium,"Visualize BAR SELECT Policy_Type_Code , count(*) FROM policies GROUP BY policy_type_code ORDER BY Policy_Type_Code ASC","Bar chart x axis policy type code y axis the total number , and order in ascending by the X-axis .",mark bar data policies encoding x policy_type_code y aggregate count policy_type_code transform group x sort x asc
1617@x_name@ASC,hr_1,Line,Hard,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40 ORDER BY HIRE_DATE ASC","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , draw a line chart about the change of department_id over hire_date , display by the X from low to high .","mark line data employees encoding x hire_date y aggregate none department_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort x asc"
3070,university_basketball,Pie,Easy,"Visualize PIE SELECT Affiliation , sum(enrollment) FROM university GROUP BY affiliation",Display a pie chart for what are the total enrollments of universities of each affiliation type ?,mark arc data university encoding x affiliation y aggregate sum enrollment transform group x
3033@x_name@ASC,tracking_software_problems,Bar,Medium,"Visualize BAR SELECT log_entry_description , COUNT(log_entry_description) FROM problem_log GROUP BY log_entry_description ORDER BY log_entry_description ASC","What is the number of entry descriptions of each problem ? , and order by the x axis in ascending .",mark bar data problem_log encoding x log_entry_description y aggregate count log_entry_description transform group x sort x asc
1346@x_name@DESC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT Is_full_time , AVG(Shop_ID) FROM hiring GROUP BY Is_full_time ORDER BY Is_full_time DESC","Find Is_full_time and the average of Shop_ID , and group by attribute Is_full_time , and visualize them by a bar chart , and sort in desc by the Is_full_time .",mark bar data hiring encoding x is_full_time y aggregate mean shop_id transform group x sort x desc
2923@x_name@DESC,swimming,Bar,Easy,"Visualize BAR SELECT meter_600 , meter_100 FROM swimmer ORDER BY meter_600 DESC","Give me the comparison about meter_100 over the meter_600 , display X in descending order .",mark bar data swimmer encoding x meter_600 y aggregate none meter_100 transform sort x desc
1484@x_name@ASC,game_injury,Grouping Line,Hard,"Visualize LINE SELECT Season , COUNT(Season) FROM game GROUP BY Away_team ,  Season ORDER BY Season ASC","List the number of games in each season and group by away team in a group line chart , and order in asc by the X-axis please .",mark line data game encoding x season y aggregate count season color away_team transform group x sort x asc
3137@x_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT ACC_Regular_Season , All_Games_Percent FROM basketball_match ORDER BY ACC_Regular_Season ASC","A bar chart shows the distribution of ACC_Regular_Season and All_Games_Percent , and display from low to high by the bars .",mark bar data basketball_match encoding x acc_regular_season y aggregate none all_games_percent transform sort x asc
2751,ship_1,Bar,Easy,"Visualize BAR SELECT Rank , COUNT(Rank) FROM captain GROUP BY Rank",Compare the total number of different ranks using a bar graph .,mark bar data captain encoding x rank y aggregate count rank transform group x
2648@x_name@DESC,race_track,Bar,Medium,"Visualize BAR SELECT Class , count(*) FROM race GROUP BY CLASS ORDER BY Class DESC","What are the different classes of races , and how many races correspond to each Show bar chart , could you rank by the X in desc ?",mark bar data race encoding x class y aggregate count class transform group x sort x desc
779@x_name@ASC,cre_Doc_Tracking_DB,Grouping Line,Extra Hard,"Visualize LINE SELECT Date_in_Locaton_To , COUNT(Date_in_Locaton_To) FROM Document_locations GROUP BY Location_Code ORDER BY Date_in_Locaton_To ASC BIN Date_in_Locaton_To BY YEAR","Show the number of documents in different ending date Bin ending date by year interval and group by location code with a group line chart , show by the X from low to high .",mark line data document_locations encoding x date_in_locaton_to y aggregate count date_in_locaton_to color location_code transform sort x asc bin x by year
1460@y_name@DESC,formula_1,Bar,Hard,"Visualize BAR SELECT name , COUNT(name) FROM races WHERE YEAR BETWEEN 2009 AND 2011 GROUP BY name ORDER BY COUNT(name) DESC","What are the names of all races held between 2009 and 2011 , and count them by a bar chart , and could you list in descending by the Y-axis ?",mark bar data races encoding x name y aggregate count name transform filter year between 2009 and 2011 group x sort y desc
406@y_name@DESC,candidate_poll,Bar,Easy,"Visualize BAR SELECT Sex , min(weight) FROM people GROUP BY Sex ORDER BY min(weight) DESC","What is the minimum weights for people of each sex ? Show a bar chart , and I want to show minimal weight from high to low order .",mark bar data people encoding x sex y aggregate min weight transform group x sort y desc
1285@x_name@DESC,e_learning,Line,Hard,"Visualize LINE SELECT date_test_taken , COUNT(date_test_taken) FROM Student_Tests_Taken WHERE test_result = ""Pass""  ORDER BY date_test_taken DESC BIN date_test_taken BY DAY","Which tests have ""Pass"" results ? Return the dates when the tests were taken , and count them by a line chart , and order x-axis from high to low order .","mark line data student_tests_taken encoding x date_test_taken y aggregate count date_test_taken transform filter test_result = ""pass"" sort x desc bin x by day"
2758@y_name@DESC,ship_mission,Bar,Medium,"Visualize BAR SELECT Type , COUNT(Type) FROM ship GROUP BY Type ORDER BY COUNT(Type) DESC","Return a bar chart showing the total number of each ship type , and I want to list total number from high to low order .",mark bar data ship encoding x type y aggregate count type transform group x sort y desc
3191@x_name@DESC,university_basketball,Bar,Hard,"Visualize BAR SELECT Affiliation , sum(Enrollment) FROM university WHERE founded > 1850 GROUP BY affiliation ORDER BY Affiliation DESC","Show me a bar chart for what are the different affiliations , and what is the total enrollment of schools founded after 1850 for each enrollment type ? , could you order in descending by the x axis please ?",mark bar data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x sort x desc
1783@y_name@DESC,hr_1,Bar,Hard,"Visualize BAR SELECT JOB_ID , COUNT(JOB_ID) FROM employees WHERE hire_date < '2002-06-21' GROUP BY JOB_ID ORDER BY COUNT(JOB_ID) DESC","For those employees who was hired before 2002-06-21 , give me the comparison about the amount of job_id over the job_id , and group by attribute job_id by a bar chart , show by the Y in desc please .",mark bar data employees encoding x job_id y aggregate count job_id transform filter hire_date < '2002-06-21' group x sort y desc
1591,hr_1,Bar,Hard,"Visualize BAR SELECT HIRE_DATE , AVG(EMPLOYEE_ID) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40 BIN HIRE_DATE BY WEEKDAY","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , give me the comparison about the average of employee_id over the hire_date bin hire_date by weekday by a bar chart .","mark bar data employees encoding x hire_date y aggregate mean employee_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 bin x by weekday"
2920,swimming,Bar,Easy,"Visualize BAR SELECT meter_500 , ID FROM swimmer",Give me the comparison about ID over the meter_500 .,mark bar data swimmer encoding x meter_500 y aggregate none id
1122@y_name@ASC,department_store,Bar,Medium,"Visualize BAR SELECT payment_method_code , count(*) FROM customers GROUP BY payment_method_code ORDER BY count(*) ASC","For each payment method , return how many customers use it , and order from low to high by the the total number please .",mark bar data customers encoding x payment_method_code y aggregate count payment_method_code transform group x sort y asc
339@x_name@DESC,bike_1,Bar,Medium,"Visualize BAR SELECT city , COUNT(*) FROM station GROUP BY city ORDER BY city DESC","List the name and the number of stations for all the cities that have at least 15 stations Show bar chart , and order by the x axis in desc .",mark bar data station encoding x city y aggregate count city transform group x sort x desc
2452,network_1,Bar,Easy,"Visualize BAR SELECT name , SUM(grade) FROM Highschooler GROUP BY name",What are the names and total grades for each high schooler . Plot them as a bar chart .,mark bar data highschooler encoding x name y aggregate sum grade transform group x
165,baseball_1,Bar,Easy,"Visualize BAR SELECT year , COUNT(year) FROM home_game BIN year BY WEEKDAY",Bar chart x axis year y axis the number of year,mark bar data home_game encoding x year y aggregate count year transform bin x by weekday
2605@x_name@DESC,product_catalog,Bar,Medium,"Visualize BAR SELECT catalog_level_name , catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10 ORDER BY catalog_level_name DESC","Give me a histogram for what are the name and level of catalog structure with level number between 5 and 10 , list by the x axis in desc .",mark bar data catalog_structure encoding x catalog_level_name y aggregate none catalog_level_number transform filter catalog_level_number between 5 and 10 sort x desc
1407@y_name@DESC,flight_1,Bar,Medium,"Visualize BAR SELECT destination , COUNT(destination) FROM Flight GROUP BY destination ORDER BY COUNT(destination) DESC","How many flights in each destination city ? Return a bar chart , and list in descending by the y axis please .",mark bar data flight encoding x destination y aggregate count destination transform group x sort y desc
1347@y_name@ASC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT Is_full_time , SUM(Employee_ID) FROM hiring GROUP BY Is_full_time ORDER BY SUM(Employee_ID) ASC","Find Is_full_time and the sum of Employee_ID , and group by attribute Is_full_time , and visualize them by a bar chart , and I want to display total number in asc order please .",mark bar data hiring encoding x is_full_time y aggregate sum employee_id transform group x sort y asc
383@y_name@DESC,candidate_poll,Bar,Medium,"Visualize BAR SELECT Sex , AVG(Weight) FROM people GROUP BY Sex ORDER BY AVG(Weight) DESC","Show me the average of weight by sex in a histogram , and display in desc by the Y .",mark bar data people encoding x sex y aggregate mean weight transform group x sort y desc
1363@x_name@DESC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT City , count(*) FROM employee GROUP BY city ORDER BY City DESC","What is the number of employees from each city , list x axis in desc order .",mark bar data employee encoding x city y aggregate count city transform group x sort x desc
1558@x_name@ASC,hr_1,Line,Extra Hard,"Visualize LINE SELECT HIRE_DATE , COMMISSION_PCT FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' ORDER BY HIRE_DATE ASC","For all employees who have the letters D or S in their first name , show me about the change of commission_pct over hire_date in a line chart , could you display by the X in asc ?",mark line data employees encoding x hire_date y aggregate none commission_pct transform filter first_name like '%d%' or first_name like '%s%' sort x asc
2910@x_name@DESC,swimming,Bar,Medium,"Visualize BAR SELECT meter_200 , SUM(ID) FROM swimmer GROUP BY meter_200 ORDER BY meter_200 DESC","Find meter_200 and the sum of ID , and group by attribute meter_200 , and visualize them by a bar chart , order bars from high to low order .",mark bar data swimmer encoding x meter_200 y aggregate sum id transform group x sort x desc
1345@x_name@DESC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT Is_full_time , SUM(Shop_ID) FROM hiring GROUP BY Is_full_time ORDER BY Is_full_time DESC","Visualize a bar chart about the distribution of Is_full_time and the sum of Shop_ID , and group by attribute Is_full_time , and could you rank in desc by the x axis ?",mark bar data hiring encoding x is_full_time y aggregate sum shop_id transform group x sort x desc
536,college_1,Scatter,Easy,"Visualize SCATTER SELECT max(stu_gpa) , avg(stu_gpa) FROM student GROUP BY dept_code",Find the relationship between maximum and average gpa of all students in each department with a scatter chart .,mark point data student encoding x max(stu_gpa) y aggregate mean stu_gpa transform group dept_code
1967@y_name@DESC,inn_1,Bar,Medium,"Visualize BAR SELECT bedType , count(*) FROM Rooms GROUP BY bedType ORDER BY count(*) DESC","What are the number of rooms for each bed type Show bar chart , could you list by the y axis from high to low ?",mark bar data rooms encoding x bedtype y aggregate count bedtype transform group x sort y desc
2020@y_name@DESC,insurance_policies,Bar,Medium,"Visualize BAR SELECT Date_Claim_Made , COUNT(Date_Claim_Made) FROM Settlements  ORDER BY COUNT(Date_Claim_Made) DESC BIN Date_Claim_Made BY WEEKDAY","Bin the claim date into the Day of Week interval and count them for visualizing a bar chart , and rank y axis in descending order .",mark bar data settlements encoding x date_claim_made y aggregate count date_claim_made transform sort y desc bin x by weekday
233,behavior_monitoring,Bar,Medium,"Visualize BAR SELECT date_address_from , COUNT(date_address_from) FROM Student_Addresses  ORDER BY monthly_rental DESC BIN date_address_from BY YEAR",Visualize a bar chart about the distribution of date_address_from and the amount of date_address_from bin date_address_from by time .,mark bar data student_addresses encoding x date_address_from y aggregate count date_address_from transform sort monthly_rental desc bin x by year
365@x_name@DESC,book_2,Bar,Medium,"Visualize BAR SELECT Publication_Date , COUNT(Publication_Date) FROM publication GROUP BY Publication_Date ORDER BY Publication_Date DESC","A bar chart showing the number of publication dates of books , and list from high to low by the Publication_Date .",mark bar data publication encoding x publication_date y aggregate count publication_date transform group x sort x desc
2557,pets_1,Pie,Easy,"Visualize PIE SELECT PetType , max(weight) FROM pets GROUP BY PetType",List the maximum weight and type for each type of pet in a pie chart .,mark arc data pets encoding x pettype y aggregate max weight transform group x
1508@x_name@DESC,gas_company,Bar,Medium,"Visualize BAR SELECT Main_Industry , sum(market_value) FROM company GROUP BY main_industry ORDER BY Main_Industry DESC","what are the main indstries and total market value for each industry ? , and order by the x-axis in desc .",mark bar data company encoding x main_industry y aggregate sum market_value transform group x sort x desc
2594@x_name@ASC,poker_player,Bar,Medium,"Visualize BAR SELECT Nationality , COUNT(*) FROM people GROUP BY Nationality ORDER BY Nationality ASC","Draw a bar chart of nationality versus the total number , and I want to rank in ascending by the names .",mark bar data people encoding x nationality y aggregate count nationality transform group x sort x asc
3112@y_name@DESC,university_basketball,Bar,Easy,"Visualize BAR SELECT ACC_Regular_Season , Team_ID FROM basketball_match ORDER BY Team_ID DESC","Draw a bar chart about the distribution of ACC_Regular_Season and Team_ID , show by the Y-axis in desc .",mark bar data basketball_match encoding x acc_regular_season y aggregate none team_id transform sort y desc
2053@x_name@ASC,journal_committee,Bar,Easy,"Visualize BAR SELECT Name , Age FROM editor ORDER BY Name ASC","Display a bar chart for the names and the ages of editors , list by the bar from low to high .",mark bar data editor encoding x name y aggregate none age transform sort x asc
1519,gas_company,Bar,Easy,"Visualize BAR SELECT Company , Rank FROM company ORDER BY Sales_billion DESC",List the company name and rank for all companies in the decreasing order of their sales . Visualize by bar chart .,mark bar data company encoding x company y aggregate none rank transform sort sales_billion desc
1487@y_name@ASC,game_injury,Stacked Bar,Hard,"Visualize BAR SELECT Away_team , COUNT(Away_team) FROM game GROUP BY Home_team ,  Away_team ORDER BY COUNT(Away_team) ASC","List the number of games for each away team and group by home team in a stacked bar chart The x-axis is away team , could you display from low to high by the Y ?",mark bar data game encoding x away_team y aggregate count away_team color home_team transform group x sort y asc
3086@x_name@ASC,university_basketball,Stacked Bar,Medium,"Visualize BAR SELECT All_Home , Team_ID FROM basketball_match GROUP BY ACC_Road ,  All_Home ORDER BY All_Home ASC","Visualize a bar chart about the distribution of All_Home and Team_ID , and group by attribute ACC_Road , I want to show X from low to high order .",mark bar data basketball_match encoding x all_home y aggregate none team_id color acc_road transform group x sort x asc
624,college_2,Bar,Easy,"Visualize BAR SELECT building , avg(capacity) FROM classroom GROUP BY building",What is the average capacity for rooms in each building ? Draw a bar chart .,mark bar data classroom encoding x building y aggregate mean capacity transform group x
1558@x_name@ASC,hr_1,Line,Extra Hard,"Visualize LINE SELECT HIRE_DATE , COMMISSION_PCT FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' ORDER BY HIRE_DATE ASC","For all employees who have the letters D or S in their first name , give me the trend about commission_pct over hire_date , and I want to rank x axis from low to high order .",mark line data employees encoding x hire_date y aggregate none commission_pct transform filter first_name like '%d%' or first_name like '%s%' sort x asc
2751@y_name@ASC,ship_1,Bar,Medium,"Visualize BAR SELECT Rank , COUNT(Rank) FROM captain GROUP BY Rank ORDER BY COUNT(Rank) ASC","Show me a bar chart comparing the total number of captains in each rank , and list how many rank in asc order please .",mark bar data captain encoding x rank y aggregate count rank transform group x sort y asc
1126@y_name@DESC,department_store,Bar,Hard,"Visualize BAR SELECT customer_name , customer_id FROM customers WHERE customer_address LIKE ""%TN%"" ORDER BY customer_id DESC","Return a histogram on what are the names and ids of customers whose address contains TN ? , and show by the customer_id in descending please .","mark bar data customers encoding x customer_name y aggregate none customer_id transform filter customer_address like ""%tn%"" sort y desc"
2924@x_name@ASC,swimming,Bar,Easy,"Visualize BAR SELECT meter_700 , ID FROM swimmer ORDER BY meter_700 ASC","Give me the comparison about ID over the meter_700 by a bar chart , and could you display in asc by the X ?",mark bar data swimmer encoding x meter_700 y aggregate none id transform sort x asc
2547@y_name@ASC,pets_1,Bar,Easy,"Visualize BAR SELECT PetType , max(pet_age) FROM pets GROUP BY PetType ORDER BY max(pet_age) ASC","Find the maximum age for each type of pet Return the result with a bar chart , and rank by the Y-axis from low to high .",mark bar data pets encoding x pettype y aggregate max pet_age transform group x sort y asc
3104@x_name@ASC,university_basketball,Bar,Medium,"Visualize BAR SELECT All_Home , SUM(School_ID) FROM basketball_match GROUP BY All_Home ORDER BY All_Home ASC","Give me a bar chart for total number of school id of each all home , and display in asc by the bars please .",mark bar data basketball_match encoding x all_home y aggregate sum school_id transform group x sort x asc
2907@x_name@ASC,swimming,Bar,Medium,"Visualize BAR SELECT Nationality , AVG(ID) FROM swimmer GROUP BY Nationality ORDER BY Nationality ASC","Show the average of id from each nationality , and sort X-axis in ascending order .",mark bar data swimmer encoding x nationality y aggregate mean id transform group x sort x asc
1436@y_name@DESC,formula_1,Bar,Hard,"Visualize BAR SELECT location , circuitId FROM circuits WHERE country = ""France"" OR country = ""Belgium"" ORDER BY circuitId DESC","Display a bar chart for what are the ids and locations of all circuits in France or Belgium ? , and list y-axis in desc order please .","mark bar data circuits encoding x location y aggregate none circuitid transform filter country = ""france"" or country = ""belgium"" sort y desc"
1360,employee_hire_evaluation,Line,Easy,"Visualize LINE SELECT Start_from , SUM(Employee_ID) FROM hiring BIN Start_from BY YEAR",Visualize a line chart about the change of the sum of Employee_ID over Start_from bin start_from by time .,mark line data hiring encoding x start_from y aggregate sum employee_id transform bin x by year
188@x_name@ASC,behavior_monitoring,Line,Medium,"Visualize LINE SELECT date_of_notes , COUNT(date_of_notes) FROM Assessment_Notes  ORDER BY date_of_notes ASC BIN date_of_notes BY YEAR","A line chart for what are the number of the dates of the assessment notes ? , and I want to show in ascending by the X-axis .",mark line data assessment_notes encoding x date_of_notes y aggregate count date_of_notes transform sort x asc bin x by year
2623@y_name@DESC,program_share,Bar,Medium,"Visualize BAR SELECT Time_of_day , count(*) FROM broadcast GROUP BY time_of_day ORDER BY count(*) DESC","Count the number of programs broadcast for each time section of a day Show bar chart , could you rank by the the total number in desc ?",mark bar data broadcast encoding x time_of_day y aggregate count time_of_day transform group x sort y desc
2473@x_name@DESC,network_2,Bar,Medium,"Visualize BAR SELECT gender , avg(age) FROM Person GROUP BY gender ORDER BY gender DESC","Give me a histogram for how old is each gender , on average ? , and sort X in descending order please .",mark bar data person encoding x gender y aggregate mean age transform group x sort x desc
1346@y_name@ASC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT Is_full_time , AVG(Shop_ID) FROM hiring GROUP BY Is_full_time ORDER BY AVG(Shop_ID) ASC","Show me about the distribution of Is_full_time and the average of Shop_ID , and group by attribute Is_full_time in a bar chart , show in ascending by the Y .",mark bar data hiring encoding x is_full_time y aggregate mean shop_id transform group x sort y asc
690@y_name@DESC,concert_singer,Bar,Medium,"Visualize BAR SELECT Country , count(*) FROM singer GROUP BY country ORDER BY count(*) DESC","Give me a histogram for how many singers are from each country ? , and sort the total number in desc order .",mark bar data singer encoding x country y aggregate count country transform group x sort y desc
789,cre_Doc_Tracking_DB,Line,Easy,"Visualize LINE SELECT Calendar_Date , Day_Number FROM Ref_calendar",What are all the calendar dates and day Numbers . Show the trend .,mark line data ref_calendar encoding x calendar_date y aggregate none day_number
1247,driving_school,Bar,Easy,"Visualize BAR SELECT payment_method_code , count(*) FROM Customer_Payments GROUP BY payment_method_code","For each payment method , how many payments were made . Show bar chart .",mark bar data customer_payments encoding x payment_method_code y aggregate count payment_method_code transform group x
2831@x_name@ASC,station_weather,Bar,Medium,"Visualize BAR SELECT services , COUNT(services) FROM station GROUP BY services ORDER BY services ASC","Count the number of services by services , and sort by the services in asc please .",mark bar data station encoding x services y aggregate count services transform group x sort x asc
1358@x_name@ASC,employee_hire_evaluation,Line,Medium,"Visualize LINE SELECT Start_from , SUM(Shop_ID) FROM hiring  ORDER BY Start_from ASC BIN Start_from BY YEAR","Plot total number of shop id over start from in a line chart , list by the x-axis in asc .",mark line data hiring encoding x start_from y aggregate sum shop_id transform sort x asc bin x by year
171@x_name@ASC,baseball_1,Line,Medium,"Visualize LINE SELECT year , avg(attendance) FROM home_game GROUP BY YEAR ORDER BY year ASC","Return a line chart on what is the average number of attendance at home games for each year ? , show from low to high by the year .",mark line data home_game encoding x year y aggregate mean attendance transform group x sort x asc
